index,start,end,text
0,0.0,5.58,так понимаю же все да все все
1,5.58,11.6,а вот это добрый день да не против шея на
2,11.6,17.68,ты буду обращаться да сэплами это разов
3,17.68,22.56,у кого-то собака очень приятный да заимно
4,22.56,27.8,так тиментрация видно
5,28.8,34.44,когда да видно да супер так вам насколько
6,34.44,37.56,я понял нужно сиремка именно под байнг и под
7,37.56,41.64,нафор то есть будете тем тем заниматься
8,41.64,46.32,раньше кем это сначала мы планируем да
9,46.32,50.04,да пользовались мы пользовались айревом
10,50.04,55.8,немного альтер в cp понял
11,55.8,59.76,хорошо даже не буду спрашивать почему
12,59.76,66.72,ищете что-то другое так сначала вы будете
13,66.72,69.6,что делать а подождите вы вы хотите как
14,69.6,72.32,у вас первозачрёдно вы начинать будете
15,72.32,75.0,чего банк будет или как наетфор будет
16,75.0,78.88,больше байнга сначала начнем до байнг
17,78.88,82.68,хорошо а какой сорт у вас
18,83.08,87.04,фейсбук я почему спрашиваю просто у нас
19,87.04,90.48,есть фишки которые именно гугловикам
20,90.48,93.0,очень сильно помолоте они так чуть-чуть
21,93.0,98.12,меньше у нас и гугл модиск но гугл уже
22,98.12,100.28,скорее мы там со второго с третьего
23,100.28,103.24,месяца как стартанемф и боня тоже
24,103.24,107.52,интересно на самом деле сейчас у вас
25,107.52,110.76,кита рабином трекер какой-то есть
26,110.76,114.32,китор да китор смотрите просто
27,114.32,116.72,почему я спрашиваю у нас есть
28,116.72,120.12,встроенный трекер он не прям что
29,120.12,124.28,супер полноценная история он больше
30,124.28,127.0,делался для гугловиков потому что для
31,127.0,129.96,гугла кита рабином они не подходят
32,129.96,133.12,по той причине что они палятся в углу
33,133.12,135.68,то есть там архитектура так сделана что
34,135.68,139.36,она довольно таки легко исполить вот и
35,139.36,141.6,обычно под гугл хосит отдельно на
36,141.6,144.4,каких-то северах вот и по сути мы
37,144.4,147.24,сделали возможность управление
38,147.24,150.4,доминами управление серверами
39,150.4,153.04,непосредственно и самой серымки
40,153.04,154.88,можно задавать ссылки то есть у нас
41,154.88,157.4,есть вот это делал раздевал links тут мы
42,157.4,159.88,можем добавить домины можем их
43,159.88,161.96,купить вот сразу же не уходясь с
44,161.96,165.32,рамки с помощью клауда ли этот
45,165.32,167.64,нейм чипа или динадота и привязать их
46,167.64,170.32,на клауд на клаудов можно сколько
47,170.32,173.84,можно тоже серымка купит сама
48,173.84,176.32,прокинет на клауд на клауде пишет
49,176.32,178.88,запись для сервера и собственно уже
50,178.88,182.76,будет готов вот и потом берем просто
51,182.76,184.64,на просто же самое сервера мы просто
52,184.64,187.0,добавляем сервер серымка сама туда
53,187.0,191.76,накладывает нужную панель и в принципе
54,191.76,194.48,можно работать потом просто берем
55,194.48,196.48,ландинг выбираем какой мы там домин
56,196.48,199.52,какой приланд если нужен какой ланд
57,199.52,203.28,выбираем ставим и там если нужно там
58,203.28,206.52,гугл вот у нас пиксель так и все фабашка
59,206.52,211.12,просто пиксель есть нутное клаука еще
60,211.12,213.88,изначально ее делали под гугл
61,213.88,215.96,с стороной не интегрируется да клааками
62,215.96,219.72,да есть можно и можно интегрировать
63,219.72,222.72,хэйт клип ладиум magic check то есть если
64,222.72,224.4,нужно еще какую-то интегрировать и там
65,224.4,227.32,есть опи то это не составит большого
66,227.32,232.92,труда интегрировать вот изначально
67,232.92,235.28,клауку наш делали под гугл ее на первое
68,235.28,240.24,время какой-то хватало но сейчас как будто
69,240.24,243.96,не хватает не уверен прям на 100% потому что
70,243.96,246.6,ну короче гугл сильно позапоследнее
71,246.6,249.24,время нейронки и начал внедрять так же
72,249.24,251.56,как фейсбук для фейсбука наши кладки
73,251.56,254.36,хватает вполне то есть прям хватает
74,254.36,256.32,с головой единственное что вы скорее всего
75,256.32,257.88,этим пользоваться не будете потому что
76,257.88,263.04,скорее всего китара будет удобнее то есть
77,263.04,265.44,если там китару используйте чисто
78,265.44,267.4,то китарь наверное нужно если там
79,267.4,268.96,паладеум какой-то используете то
80,268.96,272.32,возможно я бы за тестию немножко наш
81,272.32,275.0,продукт потому что мы чуть меньше
82,275.0,277.72,режем трафик чем сам паладеум
83,277.72,281.8,не не у нас китара просто обычно
84,281.8,285.88,клочите вы и хайплик а и клочите
85,285.88,287.84,чельсфальт чельсфальт клик насколько
86,287.84,292.04,режет трафик я не знаю но мы прям не
87,292.04,294.88,много по-разному от его зависит ам бывает и
88,294.88,297.72,ну где-то и 30 процентов трафа может
89,297.72,299.68,резать это там через поддержку решается
90,299.68,304.84,вот аномалий бывает ну не знаю и захочете
91,304.84,307.0,за тести то есть под гугл это столько
92,307.0,309.88,сфотографа под фейлдашку тут уже как
93,309.88,312.48,кому удобно только на китаре сидит я не
94,312.48,316.64,заставляю переходить вот так но это
95,316.64,319.24,про это рассказал давайте в самом
96,319.24,322.12,расскажу как то при себя представляет
97,322.12,325.96,все рамка так у нас выглядит дашборд
98,325.96,330.56,вот тут больше глаз порадовать то есть
99,330.56,333.08,какой у вас показатель это так что более
100,333.08,336.04,детально все можно посмотреть в других
101,336.04,340.44,то есть есть светлая темная тема есть
102,340.44,345.48,три языка есть уведомления есть как
103,345.48,349.8,внутри самосяремки так и в телеграммбот
104,349.8,351.36,можно подключить телеграммбот там
105,351.36,353.64,более обширный список уведомлений вплоть
106,353.64,355.88,до кап допустим у нас есть вот капы можно
107,355.88,359.0,посмотреть можем посмотреть их
108,359.0,361.4,заполненность в телеграммбот можно
109,361.4,364.32,настроить чтобы раз в час приходила
110,364.32,366.84,то катки класс компании у вас включены
111,366.84,371.36,и какая заполненность полка пустом
112,371.36,373.68,будет время последнего зашедшего
113,373.68,375.88,леда то есть есть там например кто-то
114,375.88,378.76,из вас большой начальник и ему не
115,378.76,380.56,хочется там постоянно мы заходить
116,380.56,382.72,с мониторитем ку настраивайте себе
117,382.72,384.72,бота и смотрите что там допустим у вас
118,384.72,388.76,уже там 5 вечера последний лид у вас
119,388.76,392.0,там зашел в одиннадцать утра вот уже
120,392.0,395.0,можно действовать вот и отчитывать
121,395.0,398.24,кого-то вот поэтому это в плане в этом
122,398.24,401.52,плане все удобно вот это то что
123,401.52,406.04,касается кап то есть статистика у нас
124,406.04,408.68,разделена на разделена и под байн
125,408.68,411.88,и под метврик отдельно то есть мы
126,411.88,415.48,полно формате вот таких колонок вот и
127,415.48,418.08,есть фильтры чтобы вот уже настроить
128,418.08,420.32,конкретно то что вам нужно то есть там
129,420.32,422.64,коберам какой-то воронку или там какого-то
130,422.64,425.72,байра или какого-то вауэба ну короче попав
131,425.72,427.28,всему что только можно в флот до
132,427.28,429.64,ютм метв то есть нас все рамка
133,429.64,433.28,поддерживает создание новых параметров
134,433.28,436.48,новых столбцов по ютм метках это я
135,436.48,439.08,прискочу немножко покажу наверное сразу
136,439.08,442.88,платку леды вот у нас вкладка есть
137,442.88,446.44,лиц и она полностью настраивается как вам
138,446.44,448.48,угодно то есть мы можем выбирать какие
139,448.48,451.2,обычные столбцы можем создавать
140,451.2,456.64,смотреть и есть возможность создавать
141,456.64,459.76,брать столбцы из именно ютм метв
142,459.76,462.56,то есть выбираем выбираем ютм метки и
143,462.56,465.36,в конце у нас появляются то есть
144,465.36,467.64,значения параметр который был в ютм
145,467.64,469.6,метке тут буду значение и по этим
146,469.6,471.52,значениям потом можно также отфильтровать
147,471.52,473.76,то есть идеально статистика есть по
148,473.76,477.36,ютм меткам вот это ну для байра
149,477.36,480.8,в целом это полезно в первую очередь для
150,480.8,483.48,того что вы можете посмотреть статистику
151,483.48,486.12,допустим в ютм метку передали название
152,486.12,488.92,кондитива или название там
153,488.92,492.28,аудитория или чего либо еще и вы можете
154,492.28,495.84,посмотреть сколько ледов было по той или
155,495.84,499.08,иной по тому иным показателю и
156,499.08,502.56,посмотреть какой там ансверэйд на сколько
157,502.56,504.4,люди отвечают какие там статусы и так
158,504.4,506.44,дальше то есть проанализировать
159,506.44,510.64,конкретно какой-то креос
160,510.64,514.88,так статистика менеджер статистик
161,514.88,516.72,темли статистик финансы это сюда
162,516.72,519.12,обрушаться не буду это чисто есть у нас
163,519.12,523.24,отдельная роль менеджера аф менеджер
164,523.24,525.72,темли да и финансиста и тут больше их
165,525.72,527.44,статистика единственное отличие немножко
166,527.44,530.0,для финансов это тут можно закрывать
167,530.0,534.16,сверки но я знаю кто этим примпользуется
168,534.16,536.04,потому что это удобнее наверное делать
169,536.04,540.76,в плосплатке лиц то есть серемка умеет
170,540.76,543.2,подсчитывать финансы то есть у вас
171,543.2,545.48,сейчас скорее всего идут финансы
172,545.48,548.96,именно байнга идут в табличках верно
173,548.96,551.8,же
174,551.8,554.72,опять же таки тут история та же шесткитара
175,554.72,558.0,те кто уже табличках начал делать
176,558.0,560.04,скорее всего не будут пользоваться нашим
177,560.04,561.92,функционалом но я все равно расскажу
178,561.92,565.28,нас серемка умеет подсчитывать
179,565.28,568.16,трибль вот ну самое главное
180,568.16,571.52,трибль вот на основе всем мы можем
181,571.52,574.52,посмотреть нас есть вкладочка спенс
182,574.52,579.6,байра должны вносить там раз день раз
183,579.6,582.16,два дня спенды своим то есть они могут
184,582.16,584.84,брать и добавлять воронку выбирают
185,584.84,588.28,какой там сорс юзера то они свой юзер
186,588.28,591.04,ставят вот и какие там гео но это не
187,591.04,593.4,прямо обязательно главное вот воронка
188,593.4,596.16,и юзер это вот прям два основных на
189,596.16,598.8,чем строится вот подсчет если добавить
190,598.8,600.76,остальные оно будет учитывать и остальные
191,600.76,604.08,параметры ну обычными простыми словами
192,604.08,608.44,нас есть юзер нас есть воронка и мы
193,608.44,609.76,знаем сколько мы потратили там
194,609.76,611.44,допустим через брокарт или там не
195,611.44,615.0,через брокарт потратили мы там столько
196,615.0,618.32,то денег и серемка видит сколько от этого
197,618.32,621.0,юзера за этот период времени пришло
198,621.06,622.76,ледов по этой воронке
