index,filename,timestamp_seconds,segment_index,segment_start,segment_end,segment_text,visual_group,is_representative,representative_filename,group_size,group_start_seconds,group_end_seconds
0,frame_000001.jpg,0.0,0,0.0,2.0,Есть. Добрый день.,0,True,frame_000001.jpg,1,0.0,0.0
1,frame_000002.jpg,2.5,,,,,1,True,frame_000002.jpg,3,2.5,7.5
2,frame_000005.jpg,5.0,,,,,2,True,frame_000005.jpg,3,10.0,15.0
3,frame_000008.jpg,7.5,,,,,3,True,frame_000008.jpg,1,17.5,17.5
4,frame_000009.jpg,10.0,,,,,4,True,frame_000009.jpg,1,20.0,20.0
5,frame_000010.jpg,12.5,,,,,5,True,frame_000010.jpg,1,22.5,22.5
6,frame_000011.jpg,15.0,2,13.92,15.92,"Так, да, слышно.",6,True,frame_000011.jpg,1,25.0,25.0
7,frame_000012.jpg,17.5,3,15.92,18.92,"Денис, поскажите с вашей стороны.",7,True,frame_000012.jpg,4,27.5,35.0
8,frame_000016.jpg,20.0,,,,,8,True,frame_000016.jpg,6,37.5,50.0
9,frame_000022.jpg,22.5,4,22.22,25.72,"Да, это наш технический специалист.",9,True,frame_000022.jpg,1,52.5,52.5
10,frame_000023.jpg,25.0,4,22.22,25.72,"Да, это наш технический специалист.",10,True,frame_000023.jpg,3,55.0,60.0
11,frame_000026.jpg,27.5,5,25.72,27.72,"Ок, хорошо.",11,True,frame_000026.jpg,1,62.5,62.5
12,frame_000027.jpg,30.0,6,27.72,31.72,"Так, меня зовут Петр, очень приятно.",12,True,frame_000027.jpg,1,65.0,65.0
13,frame_000028.jpg,32.5,7,31.72,33.72,Рад с вами с всеми познакомиться.,13,True,frame_000028.jpg,1,67.5,67.5
14,frame_000029.jpg,35.0,8,33.72,35.72,Как все дела?,14,True,frame_000029.jpg,7,70.0,85.0
15,frame_000036.jpg,37.5,9,35.72,37.72,Вы как?,15,True,frame_000036.jpg,5,87.5,97.5
16,frame_000041.jpg,40.0,11,39.72,41.72,"Работаем, работаем.",16,True,frame_000041.jpg,2,100.0,102.5
17,frame_000043.jpg,42.5,12,41.72,45.72,"Так, для начала, могу я позадавать пару вопросов?",17,True,frame_000043.jpg,1,105.0,105.0
