index,start,end,text
0,0.0,2.0,Есть. Добрый день.
1,12.64,13.92,Это слышно?
2,13.92,15.92,"Так, да, слышно."
3,15.92,18.92,"Денис, поскажите с вашей стороны."
4,22.22,25.72,"Да, это наш технический специалист."
5,25.72,27.72,"Ок, хорошо."
6,27.72,31.72,"Так, меня зовут Петр, очень приятно."
7,31.72,33.72,Рад с вами с всеми познакомиться.
8,33.72,35.72,Как все дела?
9,35.72,37.72,Вы как?
10,37.72,39.72,"Все хорошо, спасибо."
11,39.72,41.72,"Работаем, работаем."
12,41.72,45.72,"Так, для начала, могу я позадавать пару вопросов?"
13,45.72,49.72,С кем я буду сейчас это контактировать?
14,51.72,53.72,"Да, задавай."
15,53.72,55.72,"Да, ок, супер."
16,55.72,57.72,Супер.
17,57.72,61.72,"Позкажите, пожалуйста, под какой проект именно вы рассмотрите систему?"
18,61.72,63.72,Под байнг и подсветку.
19,63.72,65.72,Под байнг и подсветку?
20,65.72,67.72,Ок.
21,67.72,71.72,"Под байнг и сетка уже существующие на рынке, или это будет новый проект?"
22,71.72,73.72,"Нет, это новый проект."
23,73.72,75.72,Новый проект?
24,75.72,77.72,"Ок, хорошо."
25,77.72,81.72,"Скажите, пожалуйста, какие системы вы еще рассмотрите для себя?"
26,81.72,97.72,Мы еще договорились на звонок с seremate и pyrevan.
27,97.72,99.72,"Аэро, правильно?"
28,99.72,103.72,"Ок, хорошо. Вы еще их не видели, верно?"
29,103.72,105.72,"Ок, хорошо."
30,105.72,107.72,"Ок, хорошо."
31,109.72,113.72,"Так, отлично."
32,113.72,119.72,"Тогда я расширю кран и скажите, когда будет видно."
33,121.72,123.72,Видно все.
34,123.72,125.72,"Есть. Еще один вопрос, который я забыл задать,"
35,125.72,131.72,"в ДНИ, по-моему, вы писали о том, что у вас будет ниша и крипто и гейминг одновременно?"
36,135.72,141.72,"И гейминг хотелось бы потенциально иметь, потому что сейчас его нет, но..."
37,141.72,143.72,"Да, я понял."
38,143.72,149.72,"Ок, это будет, он уже будет, и не хотелось бы потом искать дополнительно еще."
39,149.72,155.72,"Ну, смотрите, у нас вообще эта система, которая сейчас расширил кран,"
40,155.72,161.72,"это elnopeofilets, которая запилена более под криптуу, под invest и так далее."
41,161.72,167.72,"Также у нас есть отдельная система, которая запилена больше под гейминг."
42,167.72,170.72,"Гейминг, бейтинг, дейтинг, не важно."
43,170.72,172.72,"Все, кроме крипты."
44,172.72,182.72,"Но криптуу там тоже можно через трекинг прогонять, просто функционал довольно простой для крипты."
45,182.72,187.72,"То есть elnopeofilets тут полноценный функционал, в iGaming."
46,187.72,189.72,Включусь.
47,189.72,196.72,"Здесь как раз таки вся метрика, все запилено больше под гейминг, да, создание потоков."
48,196.72,202.72,"Тут можно и поаппи создавать потоки, но как бы основной это клик, по URL-ке."
49,202.72,210.72,"Поэтому гейминг, да, можно будет подключить, когда вы будете готовы, вот."
50,210.72,216.72,"Но я думаю, к этому вопросу мы вернемся тогда, когда у вас будет запрос уже именно не был."
51,217.72,220.72,"Ок, тогда переходим к aphelets."
52,220.72,223.72,Как мы построим делог?
53,223.72,228.72,"Возможно, у вас есть конкретные вопросы, возможно, в ваших коллег технических есть более конкретные вопросы,"
54,228.72,232.72,"которые я могу ответить, показать, как у нас работает, рассказать более детально."
55,232.72,235.72,Может есть ряд прям вопросов каких-то.
56,235.72,240.72,"Ну, наверное, пока более конкретных вопросов нет, было бы интересно посмотреть и услышать,"
57,240.72,243.72,как у вас реализована там телевизорная функция.
58,243.72,248.72,"Я на самом деле, прям сильно, так сказать, глубоко не знаком с подобными системами,"
59,248.72,253.72,"и будет достаточно полезно, если вы сделаете такой вот explain, если у нас есть запас времени на это."
