index,filename,timestamp_seconds,segment_index,segment_start,segment_end,segment_text,visual_group,is_representative,representative_filename,group_size,group_start_seconds,group_end_seconds
0,frame_000001.jpg,0.0,0,0.0,1.0,Ваши...,0,True,frame_000001.jpg,1,0.0,0.0
1,frame_000002.jpg,2.5,1,1.0,5.0,"Нет-нет-нет, это пикер наш. Сейчас один момент, сейчас коллега зайдет.",1,True,frame_000002.jpg,1,2.5,2.5
2,frame_000003.jpg,5.0,1,1.0,5.0,"Нет-нет-нет, это пикер наш. Сейчас один момент, сейчас коллега зайдет.",2,True,frame_000003.jpg,1,5.0,5.0
3,frame_000004.jpg,7.5,,,,,3,True,frame_000004.jpg,3,7.5,12.5
4,frame_000007.jpg,10.0,,,,,4,True,frame_000007.jpg,2,15.0,17.5
5,frame_000009.jpg,12.5,,,,,5,True,frame_000009.jpg,1,20.0,20.0
6,frame_000010.jpg,15.0,,,,,6,True,frame_000010.jpg,6,22.5,35.0
7,frame_000016.jpg,17.5,,,,,7,True,frame_000016.jpg,2,37.5,40.0
8,frame_000018.jpg,20.0,,,,,8,True,frame_000018.jpg,1,42.5,42.5
9,frame_000019.jpg,22.5,,,,,9,True,frame_000019.jpg,1,45.0,45.0
10,frame_000020.jpg,25.0,,,,,10,True,frame_000020.jpg,1,47.5,47.5
11,frame_000021.jpg,27.5,,,,,11,True,frame_000021.jpg,1,50.0,50.0
12,frame_000022.jpg,30.0,2,30.0,42.0,Добрый день.,12,True,frame_000022.jpg,17,52.5,92.5
13,frame_000039.jpg,32.5,2,30.0,42.0,Добрый день.,13,True,frame_000039.jpg,14,95.0,127.5
14,frame_000053.jpg,35.0,2,30.0,42.0,Добрый день.,14,True,frame_000053.jpg,1,130.0,130.0
15,frame_000054.jpg,37.5,2,30.0,42.0,Добрый день.,15,True,frame_000054.jpg,5,132.5,142.5
16,frame_000059.jpg,40.0,2,30.0,42.0,Добрый день.,16,True,frame_000059.jpg,1,145.0,145.0
