index,start,end,text
0,0.0,0.0,"Hello? Hello? Hello? Hi. Can you hear me? Yes. You hear me? Yes, how are you? Yes."
1,0.0,0.0,"Hello? Hello? Yes, yes, yes, I hear you. Do you hear me? Yes. Nice. I don't hear you very well, but I hope that it's just temporary."
2,0.0,0.0,"Anyway, my name is Gal. What's your name? Alex? Yeah. Okay, nice to meet you. Nice to meet you. Where are you from? From Russia."
3,0.0,0.0,"Russia? Okay. Okay, let me share the screen and I will make you show you the system. I don't feel very well today, so I will be quick, but if you have a specific question, just stop me and I will answer, okay?"
4,0.0,0.0,"Yes, okay, thank you. I have questions. I think all will be good. Okay, you want to ask now or you want to wait? I think in process. Okay, good. Okay, so you see my screen, right? Yes. Okay. You are going to be a network, I assume, right?"
5,0.0,0.0,"Firstly, we start new project and want to start from Mediavine around three months and after three months, connect network and want to manage all of this project from one place."
6,0.0,0.0,"Okay, and are you doing only CryptoForex Verticals or also other? Only CryptoForex Try and Gambling, but I think it's tests. It was difficult, yes. Okay, in any case, our system, you can do all the verticals in our system, okay?"
7,0.0,0.0,"Okay, so you are getting from us a copy of this system. You put your logo here, you can control colors, you can do colors. We have over here the dashboard that you can filter by time, by advertiser, by traffic source, affiliate is like a traffic source. Okay, it's the same thing."
8,0.0,0.0,"Offers, geos, you can see your financial, we have a finance system inside, I will show you in a minute. So if you use the finance system, you can see income costs, profits, clicks, leads, pay leads, we are collecting what the pay leads for you. Okay, you're not losing them."
9,0.0,0.0,"A proof conversion, spending conversion, if you want to do it manually or with rules. Okay, some charts over here, system status, some one second, it's for protection."
10,0.0,0.0,"Some charts, some tables over here, top affiliates, for offers, advertiser and so on. We have different type of views of admin, but that's the main one."
11,0.0,0.0,"Okay, now you have a full management of traffic sources and affiliates. You can control from copying, geos, limits, automations, whatever you want. We have also like a wallet, a virtual wallet, that you can control how much money you owe or how much money you expose and so on."
12,0.0,0.0,"We are supporting different levels of affiliates, like if you will have a master affiliate or affiliate manager, we are supporting these levels."
13,0.0,0.0,"You can create for you a lot of automation regarding the affiliates with rules and restrictions and everything. Okay, any questions regarding the affiliate section?"
14,0.0,0.0,"No, affiliate section, no questions."
15,0.0,0.0,"Traffic sources, affiliate section, everything. In any case, just to let you know that all the connections, integrations with Google, Facebook, whatever you need, our team is helping you with this, okay?"
16,0.0,0.0,"You have a dedicated support team, is working on the telegram, okay, they are answering in minutes, okay, not one hour, two hours in minutes, and if you need integration, you open a group with the support team and with the integration party, everything they are doing."
17,0.0,0.0,"They are working from Monday to Friday, you have over here all the time, their timetables, okay? Monday to Friday, it's usually from 9 o'clock to 10 o'clock GMT+2 until then 10 o'clock at night, Sunday limited support, and you have holidays, and this is their telegram, okay?"
18,0.0,0.0,Yes.
19,0.0,0.0,"Okay, you have advertisement management, okay, so you have a full advertising management system, and also here you have the wallet, this is more important to use, okay, so you don't want to be too exposed with the advertiser."
20,0.0,0.0,"You can control the downtime when you don't want, they will accept traffic, in the wallet you will see any transaction that they are going with this broker, with this advertiser, commission, we are supporting different type of commission, fix, dynamic, ref share, we also have hybrid, which is not here,"
21,0.0,0.0,"different type of currencies and you can get commission and you can give commission for almost any event, if it's fleets, fleets, FTD, referral, everything you can give commission."
22,0.0,0.0,"Gears, opening the gears that the advertiser been accepting, also with different rules and you've got custom fields that you need, copying on the advertising level, and the rest are less important."
23,0.0,0.0,Any questions regarding this?
24,0.0,0.0,"Here, no."
25,0.0,0.0,I'm interested in rotation.
26,0.0,0.0,"Rotation, I'm going out of rotation."
27,0.0,0.0,"Okay, so this is the lead distribution setup, okay, and it works like this."
28,0.0,0.0,"First of all, you can see, second, it's a demo account without data."
29,0.0,0.0,"Over here, first of all, you have a general view that you can see each country, which advertiser you have, and which are in rotation, which are not rotation."
30,0.0,0.0,"The way we work with this is that you are starting with the country, okay, let's say United Kingdom."
31,0.0,0.0,"And for your convenience, okay, for your convenience on the top, okay, you have all the traffic sources that are sending to United Kingdom."
32,0.0,0.0,And with the rules.
33,0.0,0.0,"Okay, so this is just for your convenience."
34,0.0,0.0,Okay.
35,0.0,0.0,"Over here, you have the general rotation for all of them."
36,0.0,0.0,So we are working with the bucket system.
37,0.0,0.0,"A bucket, it's like, you know, bucket of water."
38,0.0,0.0,Okay.
39,0.0,0.0,Yes.
40,0.0,0.0,"And so in any bucket, we, this is starting by the default."
41,0.0,0.0,You are putting rotations of advertisers.
42,0.0,0.0,Okay.
43,0.0,0.0,"If you see, it's like with the line, it means it's out of rotation."
44,0.0,0.0,You will see what is the reason here.
45,0.0,0.0,"And on the right side, you can basically prioritize and you say each one, how much do you, do you want from the, you will get from the, from the leads."
46,0.0,0.0,How much percentage?
47,0.0,0.0,"It's 40, 25, 10, and zero."
48,0.0,0.0,"And so they, you know, the lead going according to this prioritization, it takes into consideration the copying and statistics and everything."
49,0.0,0.0,"And you can create unlimited, another bucket and to put over there also a rotation of advertiser and do optimization per this bucket."
50,0.0,0.0,"So people usually use it, put the best advertisers on the first bucket and then second, second level of advertising fallbacks and so on."
51,0.0,0.0,Okay.
52,0.0,0.0,This is how it is.
53,0.0,0.0,Okay.
54,0.0,0.0,Any question?
55,0.0,0.0,No.
56,0.0,0.0,Okay.
57,0.0,0.0,I understand all clear.
58,0.0,0.0,Okay.
59,0.0,0.0,Okay.
